STATE,Number_Agencies_2018,Population_covered_2018,Total_Crimes_2018,Crimes_per_pop_2018,Crimes_per_100k_2018,Number_Agencies_2017,Population_Covered_2017,Total_Crimes_2017,Crimes_per_pop_2017,Crimes_per_100k_2017,Number_Agencies_2016,Population_Covered_2016,Total_Crimes_2016,Crimes_per_pop_2016,Crimes_per_100k_2016,Avg_Crimes_Per_Pop,Avg_Crimes_per_100k
Alabama,98,"1,865,517",0,0,0,334,"2,918,324",9,0.00000308396189,0.308396189,28,"1,013,839",14,0.00001380889865,1.380889865,0.000005630953514,0.5630953514
Alaska,32,"733,747",7,0.000009540073077,0.9540073077,32,"736,205",4,0.000005433269266,0.5433269266,32,"738,566",11,0.00001489372649,1.489372649,0.000009955689612,0.9955689612
Arizona,102,"7,135,285",166,0.00002326466287,2.326466287,87,"6,755,795",264,0.0000390775623,3.90775623,85,"6,361,910",213,0.00003348051136,3.348051136,0.00003194091218,3.194091218
Arkansas,286,"2,874,960",13,0.000004521802042,0.4521802042,292,"2,836,240",7,0.0000024680563,0.24680563,288,"2,853,645",12,0.000004205148153,0.4205148153,0.000003731668832,0.3731668832
California,736,"39,520,441","1,063",0.00002689747313,2.689747313,730,"39,529,144","1,094",0.00002767578271,2.767578271,733,"39,242,633",931,0.00002372419812,2.372419812,0.00002609915132,2.609915132
Colorado,217,"5,512,017",121,0.0000219520368,2.19520368,221,"5,575,629",106,0.00001901130796,1.901130796,229,"5,519,770",104,0.00001884136477,1.884136477,0.00001993490317,1.993490317
Connecticut,97,"3,150,064",81,0.00002571376328,2.571376328,107,"3,588,184",111,0.00003093486845,3.093486845,106,"3,576,452",106,0.00002963831194,2.963831194,0.00002876231455,2.876231455
Delaware,63,"962,453",16,0.0000166241884,1.66241884,63,"961,939",29,0.00003014744178,3.014744178,63,"952,065",15,0.0000157552268,1.57552268,0.00002084228566,2.084228566
District of Columbia,2,"702,455",213,0.0003032222705,30.32222705,2,"693,972",193,0.0002781092033,27.81092033,2,"681,170",115,0.000168827165,16.8827165,0.0002500528796,25.00528796
Florida,651,"20,922,562",141,0.00000673913644,0.673913644,654,"20,515,334",145,0.000007067883955,0.7067883955,46,"8,988,095",96,0.00001068079498,1.068079498,0.000008162605127,0.8162605127
Georgia,487,"8,497,512",35,0.000004118852671,0.4118852671,509,"8,948,013",27,0.00000301742968,0.301742968,493,"8,216,137",39,0.000004746756292,0.4746756292,0.000003961012881,0.3961012881
Hawaii,1,"982,019",44,0.0000448056504,4.48056504,Data Unavailable,,,,0,,,,,0,0.0000448056504,4.48056504
Idaho,106,"1,738,946",23,0.00001322640266,1.322640266,106,"1,699,259",53,0.00003119006579,3.119006579,111,"1,683,140",27,0.00001604144634,1.604144634,0.00002015263826,2.015263826
Illinois,738,"11,942,645",107,0.000008959489292,0.8959489292,741,"12,270,234",82,0.000006682839137,0.6682839137,738,"12,373,460",111,0.000008970813338,0.8970813338,0.000008204380589,0.8204380589
Indiana,161,"3,004,204",107,0.00003561675572,3.561675572,162,"2,287,298",55,0.00002404583924,2.404583924,164,"2,874,580",78,0.00002713439876,2.713439876,0.00002893233124,2.893233124
Iowa,228,"3,042,074",10,0.000003287231014,0.3287231014,240,"3,104,739",11,0.000003542970923,0.3542970923,241,"3,113,786",17,0.000005459591635,0.5459591635,0.000004096597857,0.4096597857
Kansas,367,"2,561,072",69,0.0000269418431,2.69418431,364,"2,620,785",75,0.00002861737991,2.861737991,343,"2,591,338",49,0.00001890915041,1.890915041,0.00002482279114,2.482279114
Kentucky,414,"4,448,098",235,0.00005283156981,5.283156981,409,"4,444,239",378,0.00008505393162,8.505393162,405,"4,427,530",206,0.0000465270704,4.65270704,0.00006147085727,6.147085727
